,power_base,power_down,power_up,time_base,time_down,time_up
0,0.0,0.0,0.0,17884800.0,17884800.0,17884800.0
1,0.0,0.0,0.0,17884807.2,17884807.2,17884807.2
2,0.0,0.0,0.0,17884814.4,17884814.4,17884814.4
3,0.0,0.0,0.0,17884821.599999998,17884821.599999998,17884821.599999998
4,0.0,0.0,0.0,17884828.8,17884828.8,17884828.8
5,0.0,0.0,0.0,17884836.0,17884836.0,17884836.0
6,0.0,0.0,0.0,17884843.2,17884843.2,17884843.2
7,0.0,0.0,0.0,17884850.4,17884850.4,17884850.4
8,0.0,0.0,0.0,17884857.599999998,17884857.599999998,17884857.599999998
9,0.0,0.0,0.0,17884864.8,17884864.8,17884864.8
10,0.0,0.0,0.0,17884872.0,17884872.0,17884872.0
11,0.0,0.0,0.0,17884879.2,17884879.2,17884879.2
12,-1.386996945695337e-32,-1.386996945695337e-32,-1.386996945695337e-32,17884886.4,17884886.4,17884886.4
13,-2.0191039191998555e-24,-2.0191039191998555e-24,-2.0191039191998555e-24,17884893.599999998,17884893.599999998,17884893.599999998
14,-2.0194378009994626e-24,-2.0194378009994626e-24,-2.0194378009994626e-24,17884900.8,17884900.8,17884900.8
15,-8.871513147422732e-31,-8.871513147422732e-31,-8.871513147422732e-31,17884908.0,17884908.0,17884908.0
16,-9.863448647464795e-32,-9.863448647464795e-32,-9.863448647464795e-32,17884915.2,17884915.2,17884915.2
17,-1.4285887619336836e-143,-1.4285887619336836e-143,-1.4285887619336836e-143,17884922.4,17884922.4,17884922.4
18,-2.2273632998961686e-190,-2.2273632998961686e-190,-2.2273632998961686e-190,17884929.599999998,17884929.599999998,17884929.599999998
19,-3.642876146564296e-220,-3.642876146564296e-220,-3.642876146564296e-220,17884936.8,17884936.8,17884936.8
20,-1.0722353755911999e-245,-1.0722353755911999e-245,-1.0722353755911999e-245,17884944.0,17884944.0,17884944.0
21,-1.022164079838304e-262,-1.022164079838304e-262,-1.022164079838304e-262,17884951.2,17884951.2,17884951.2
22,-5.414504510449452e-284,-5.414504510449452e-284,-5.414504510449452e-284,17884958.4,17884958.4,17884958.4
