,power_base,power_down,power_up,time_base,time_down,time_up
0,0.0,0.0,0.0,7171200.0,7171200.0,7171200.0
1,-1.1576200123546887e-05,-1.1576200123546887e-05,-1.1576200123546887e-05,7171207.2,7171207.2,7171207.2
2,-1.1572459634613187e-05,-1.1572459634613187e-05,-1.1572459634613187e-05,7171214.4,7171214.4,7171214.4
3,-1.156867339176709e-05,-1.156867339176709e-05,-1.156867339176709e-05,7171221.600000001,7171221.600000001,7171221.600000001
4,-1.1564835603410465e-05,-1.1564835603410465e-05,-1.1564835603410465e-05,7171228.8,7171228.8,7171228.8
5,-1.1560948783508245e-05,-1.1560948783508245e-05,-1.1560948783508245e-05,7171236.0,7171236.0,7171236.0
6,-1.1557013436228114e-05,-1.1557013436228114e-05,-1.1557013436228114e-05,7171243.2,7171243.2,7171243.2
7,-1.155302956733516e-05,-1.155302956733516e-05,-1.155302956733516e-05,7171250.4,7171250.4,7171250.4
8,-1.1548995044537237e-05,-1.1548995044537237e-05,-1.1548995044537237e-05,7171257.600000001,7171257.600000001,7171257.600000001
9,-1.1544912767979067e-05,-1.1544912767979067e-05,-1.1544912767979067e-05,7171264.8,7171264.8,7171264.8
10,-1.1540781926689966e-05,-1.1540781926689966e-05,-1.1540781926689966e-05,7171272.0,7171272.0,7171272.0
11,-1.1536602832415865e-05,-1.1536602832415865e-05,-1.1536602832415865e-05,7171279.2,7171279.2,7171279.2
12,-1.1532375743830477e-05,-1.1532375743830477e-05,-1.1532375743830477e-05,7171286.4,7171286.4,7171286.4
13,-9.299530393426175e-06,-9.299530393426175e-06,-9.299530393426175e-06,7171293.600000001,7171293.600000001,7171293.600000001
14,-1.5145399142300462e-05,-1.5145399142300462e-05,-1.5145399142300462e-05,7171300.8,7171300.8,7171300.8
15,-6.454687429306789e-06,-6.454687429306789e-06,-6.454687429306789e-06,7171308.0,7171308.0,7171308.0
16,-2.842057394013845e-06,-2.842057394013845e-06,-2.842057394013845e-06,7171315.2,7171315.2,7171315.2
17,-1.3412678954481066e-06,-1.3412678954481066e-06,-1.3412678954481066e-06,7171322.4,7171322.4,7171322.4
18,-6.82330940805163e-07,-6.82330940805163e-07,-6.82330940805163e-07,7171329.600000001,7171329.600000001,7171329.600000001
19,-3.8214302852218436e-07,-3.8214302852218436e-07,-3.8214302852218436e-07,7171336.8,7171336.8,7171336.8
20,-2.3995102468432e-07,-2.3995102468432e-07,-2.3995102468432e-07,7171344.0,7171344.0,7171344.0
21,-1.6745808069135368e-07,-1.6745808069135368e-07,-1.6745808069135368e-07,7171351.2,7171351.2,7171351.2
22,-1.2839833534889656e-07,-1.2839833534889656e-07,-1.2839833534889656e-07,7171358.4,7171358.4,7171358.4
23,-1.0662427007854411e-07,-1.0662427007854411e-07,-1.0662427007854411e-07,7171365.600000001,7171365.600000001,7171365.600000001
24,-9.412636155401583e-08,-9.412636155401583e-08,-9.412636155401583e-08,7171372.8,7171372.8,7171372.8
25,-8.668000169109807e-08,-8.668000169109807e-08,-8.668000169109807e-08,7171380.0,7171380.0,7171380.0
26,-8.206871394731933e-08,-8.206871394731933e-08,-8.206871394731933e-08,7171387.2,7171387.2,7171387.2
27,-7.916485818234121e-08,-7.916485818234121e-08,-7.916485818234121e-08,7171394.4,7171394.4,7171394.4
28,-7.716484814177822e-08,-7.716484814177822e-08,-7.716484814177822e-08,7171401.600000001,7171401.600000001,7171401.600000001
29,-7.592333613665237e-08,-7.592333613665237e-08,-7.592333613665237e-08,7171408.8,7171408.8,7171408.8
30,-7.50338413500695e-08,-7.50338413500695e-08,-7.50338413500695e-08,7171416.0,7171416.0,7171416.0
31,-7.460035628503201e-08,-7.460035628503201e-08,-7.460035628503201e-08,7171423.2,7171423.2,7171423.2
32,-7.44018917550951e-08,-7.44018917550951e-08,-7.44018917550951e-08,7171430.4,7171430.4,7171430.4
33,-7.437589192344812e-08,-7.437589192344812e-08,-7.437589192344812e-08,7171437.600000001,7171437.600000001,7171437.600000001
34,-7.443200885153486e-08,-7.443200885153486e-08,-7.443200885153486e-08,7171444.8,7171444.8,7171444.8
35,-7.447976931450717e-08,-7.447976931450717e-08,-7.447976931450717e-08,7171452.0,7171452.0,7171452.0
36,-7.450934074996357e-08,-7.450934074996357e-08,-7.450934074996357e-08,7171459.2,7171459.2,7171459.2
37,-7.452646428395123e-08,-7.452646428395123e-08,-7.452646428395123e-08,7171466.4,7171466.4,7171466.4
38,-7.453561729356962e-08,-7.453561729356962e-08,-7.453561729356962e-08,7171473.600000001,7171473.600000001,7171473.600000001
39,-7.454008923716251e-08,-7.454008923716251e-08,-7.454008923716251e-08,7171480.8,7171480.8,7171480.8
40,-7.454090936886828e-08,-7.454090936886828e-08,-7.454090936886828e-08,7171488.0,7171488.0,7171488.0
41,-7.453980237744524e-08,-7.453980237744524e-08,-7.453980237744524e-08,7171495.2,7171495.2,7171495.2
42,-7.453781644975703e-08,-7.453781644975703e-08,-7.453781644975703e-08,7171502.4,7171502.4,7171502.4
43,-7.453545595162908e-08,-7.453545595162908e-08,-7.453545595162908e-08,7171509.600000001,7171509.600000001,7171509.600000001
44,-7.453272451123748e-08,-7.453272451123748e-08,-7.453272451123748e-08,7171516.8,7171516.8,7171516.8
45,-7.452973467869359e-08,-7.452973467869359e-08,-7.452973467869359e-08,7171524.0,7171524.0,7171524.0
46,-7.452656864332945e-08,-7.452656864332945e-08,-7.452656864332945e-08,7171531.2,7171531.2,7171531.2
47,-7.452326888931169e-08,-7.452326888931169e-08,-7.452326888931169e-08,7171538.4,7171538.4,7171538.4
48,-7.451987931787728e-08,-7.451987931787728e-08,-7.451987931787728e-08,7171545.600000001,7171545.600000001,7171545.600000001
49,-7.451643138588067e-08,-7.451643138588067e-08,-7.451643138588067e-08,7171552.8,7171552.8,7171552.8
50,-7.45129292974555e-08,-7.45129292974555e-08,-7.45129292974555e-08,7171560.0,7171560.0,7171560.0
51,-7.450939019620599e-08,-7.450939019620599e-08,-7.450939019620599e-08,7171567.2,7171567.2,7171567.2
52,-7.450582387834079e-08,-7.450582387834079e-08,-7.450582387834079e-08,7171574.4,7171574.4,7171574.4
53,-7.450223145852929e-08,-7.450223145852929e-08,-7.450223145852929e-08,7171581.600000001,7171581.600000001,7171581.600000001
54,-7.449861385578839e-08,-7.449861385578839e-08,-7.449861385578839e-08,7171588.8,7171588.8,7171588.8
55,-7.449497186109473e-08,-7.449497186109473e-08,-7.449497186109473e-08,7171596.0,7171596.0,7171596.0
56,-7.449130577257418e-08,-7.449130577257418e-08,-7.449130577257418e-08,7171603.2,7171603.2,7171603.2
57,-7.448761621909146e-08,-7.448761621909146e-08,-7.448761621909146e-08,7171610.4,7171610.4,7171610.4
58,-7.448390349205634e-08,-7.448390349205634e-08,-7.448390349205634e-08,7171617.600000001,7171617.600000001,7171617.600000001
59,-7.448016780512442e-08,-7.448016780512442e-08,-7.448016780512442e-08,7171624.8,7171624.8,7171624.8
60,-7.4476409217182e-08,-7.4476409217182e-08,-7.4476409217182e-08,7171632.0,7171632.0,7171632.0
61,-7.447262810642953e-08,-7.447262810642953e-08,-7.447262810642953e-08,7171639.2,7171639.2,7171639.2
62,-7.446882458020523e-08,-7.446882458020523e-08,-7.446882458020523e-08,7171646.4,7171646.4,7171646.4
63,-7.44649988075759e-08,-7.44649988075759e-08,-7.44649988075759e-08,7171653.600000001,7171653.600000001,7171653.600000001
64,-7.446115087819382e-08,-7.446115087819382e-08,-7.446115087819382e-08,7171660.8,7171660.8,7171660.8
65,-7.44572809861482e-08,-7.44572809861482e-08,-7.44572809861482e-08,7171668.0,7171668.0,7171668.0
66,-7.445338926915948e-08,-7.445338926915948e-08,-7.445338926915948e-08,7171675.2,7171675.2,7171675.2
67,-7.444947547188487e-08,-7.444947547188487e-08,-7.444947547188487e-08,7171682.4,7171682.4,7171682.4
68,-7.444554069911735e-08,-7.444554069911735e-08,-7.444554069911735e-08,7171689.600000001,7171689.600000001,7171689.600000001
69,-7.444158425865126e-08,-7.444158425865126e-08,-7.444158425865126e-08,7171696.8,7171696.8,7171696.8
70,-7.443760638722187e-08,-7.443760638722187e-08,-7.443760638722187e-08,7171704.0,7171704.0,7171704.0
71,-7.443360737047009e-08,-7.443360737047009e-08,-7.443360737047009e-08,7171711.2,7171711.2,7171711.2
72,-7.442958716342518e-08,-7.442958716342518e-08,-7.442958716342518e-08,7171718.4,7171718.4,7171718.4
73,-7.442554611076569e-08,-7.442554611076569e-08,-7.442554611076569e-08,7171725.600000001,7171725.600000001,7171725.600000001
74,-7.442148416691663e-08,-7.442148416691663e-08,-7.442148416691663e-08,7171732.8,7171732.8,7171732.8
75,-7.441740162245281e-08,-7.441740162245281e-08,-7.441740162245281e-08,7171740.0,7171740.0,7171740.0
76,-7.441329847695058e-08,-7.441329847695058e-08,-7.441329847695058e-08,7171747.2,7171747.2,7171747.2
77,-7.44091750421174e-08,-7.44091750421174e-08,-7.44091750421174e-08,7171754.4,7171754.4,7171754.4
78,-7.440503126646646e-08,-7.440503126646646e-08,-7.440503126646646e-08,7171761.600000001,7171761.600000001,7171761.600000001
